Treatment,Date Time,Temp,RH
CON,2/3/2015 18:00,5.076,82.045
CON,2/3/2015 19:00,4.246,82.432
CON,2/3/2015 20:00,2.744,87.647
CON,2/3/2015 21:00,1.153,90.561
CON,2/3/2015 22:00,0.107,95.182
CON,2/3/2015 23:00,-0.255,96.331
CON,2/4/2015 0:00,-0.817,98.69
CON,2/4/2015 1:00,-0.789,100
CON,2/4/2015 2:00,-0.62,99.781
CON,2/4/2015 3:00,-0.789,100
CON,2/4/2015 4:00,-0.339,100
CON,2/4/2015 5:00,-0.563,100
CON,2/4/2015 6:00,-0.06,99.096
CON,2/4/2015 7:00,1.805,93.328
CON,2/4/2015 8:00,2.074,91.397
CON,2/4/2015 9:00,2.584,87.506
CON,2/4/2015 10:00,2.423,82.792
CON,2/4/2015 11:00,2.45,79.763
CON,2/4/2015 12:00,0.051,99.882
CON,2/4/2015 13:00,0.107,100
CON,2/4/2015 14:00,0.412,100
CON,2/4/2015 15:00,1.071,100
CON,2/4/2015 16:00,1.832,100
CON,2/4/2015 17:00,2.584,100
CON,2/4/2015 18:00,2.717,100
CON,2/4/2015 19:00,3.38,100
CON,2/4/2015 20:00,4.22,100
CON,2/4/2015 21:00,4.558,100
CON,2/4/2015 22:00,5.385,100
CON,2/4/2015 23:00,3.932,100
CON,2/5/2015 0:00,4.973,100
CON,2/5/2015 1:00,5.872,100
CON,2/5/2015 2:00,5.872,100
CON,2/5/2015 3:00,3.932,100
CON,2/5/2015 4:00,1.153,100
CON,2/5/2015 5:00,2.664,100
CON,2/5/2015 6:00,2.37,100
CON,2/5/2015 7:00,2.69,100
CON,2/5/2015 8:00,3.221,100
CON,2/5/2015 9:00,3.696,100
CON,2/5/2015 10:00,7.015,100
CON,2/5/2015 11:00,7.77,95.449
CON,2/5/2015 12:00,9.534,91.965
CON,2/5/2015 13:00,6.204,93.555
CON,2/5/2015 14:00,5.745,92.38
CON,2/5/2015 15:00,5.796,94.918
CON,2/5/2015 16:00,5.205,95.303
CON,2/5/2015 17:00,5.282,97.12
CON,2/5/2015 18:00,4.973,98.545
CON,2/5/2015 19:00,4.869,97.323
